org_ID,parent_ID,code,name,name_short_30,name_short_15,location_address1,location_city,location_state,location_zip,location,location_zip_ext,location_phone,location_fax,location_email,location_web_site,sch_sub_type_ID,sch_sub_type_name,role_sort_order,source
703,,21501,Salve Regina University,Salve Regina University,Salve Regina,100 Ochre Point Avenue,Newport,RI,2840,"Newport, RI  02840",,(401) 341-2337,(401) 847-4150,,www.salve.edu,10,Private Colleges and Universities,5,RIDE_May  3 2023  3:37PM
3202,42,70501,Bard College,Bard College,Bard College,84 Alford Road,Great Barrington,MA,1230,"Great Barrington, MA  01230",,(800) 235-7186,,bardacademy@simons-rock.edu,,24,State Colleges and Universities,5,RIDE_May  3 2023  3:37PM
3215,42,70504,Central Maine Community College,Central Maine Community Colleg,CMCC,1250 Turner Street,Auburn,MN,4210,"Auburn, MN  04210",,(207) 755-5100,,enroll@cmcc.edu,http://www.cmcc.edu/Home.aspx#.WEcnZPkrKUk,24,State Colleges and Universities,,RIDE_May  3 2023  3:37PM
590,2950,17501,Community College of R.I. - Flanagan Campus,Community College of R.I.,CCRI-Lincoln,1762 Louisquisset Pike,Lincoln,RI,2865,"Lincoln, RI  02865-4585",4585,(401) 333-7000,(401) 333-7111,,www.ccri.edu,24,State Colleges and Universities,5,RIDE_May  3 2023  3:37PM
1375,2950,35501,Community College of R.I. - Knight Campus,Community College of R.I.,CCRI,400 East Avenue,Warwick,RI,2886,"Warwick, RI  02886-1807",1807,(401) 825-1000,(401) 825-2166,,www.ccri.edu,24,State Colleges and Universities,5,RIDE_May  3 2023  3:37PM
1108,2950,28507,Community College of R.I. - Liston Campus,Community College of RI - List,CCRI-Providence,1 Hilton Street,Providence,RI,2905,"Providence, RI  02905-2304",2304,(401) 455-6000,(401) 455-6190,,www.ccri.edu,24,State Colleges and Universities,5,RIDE_May  3 2023  3:37PM
705,2950,21503,Community College of R.I.-Newport County Campus,Community College of RI-New,CCRI-Newport,1 John H. Chafee Blvd.,Newport,RI,2840,"Newport, RI  02840-1096",1096,(401) 851-1600,(401) 851-1662,,www.ccri.edu,24,State Colleges and Universities,5,RIDE_May  3 2023  3:37PM
3206,42,70502,Dean College,Dean College,Dean College,99 Main St,Franklin,MA,2038,"Franklin, MA  02038",,(877) 879-3326,,admissions@dean.edu,www.dean.edu/contact_admissions.aspx,24,State Colleges and Universities,,RIDE_May  3 2023  3:37PM
1106,,28505,Rhode Island College                              ,Rhode Island College          ,RIC            ,600 Mt. Pleasant Avenue       ,Providence,RI,2908,"Providence, RI  02908",,(401) 456-8101,(401) 456-8287,                                                  ,www.ric.edu                                                           ,24,State Colleges and Universities,5,RIDE_May  3 2023  3:37PM
3210,42,70503,University of California,University of California,Unv California,1111 Franklin Street,Oakland,CA,94607,"Oakland, CA  94607",,(510) 987-9200,,President@ucop.edu,,24,State Colleges and Universities,5,RIDE_May  3 2023  3:37PM
3604,42,70507,University of Iowa,University of Iowa,University Iowa,Iowa City,Iowa,IA,52242,"Iowa, IA  52242",,(319) 335-3500,,,,24,State Colleges and Universities,,RIDE_May  3 2023  3:37PM
1220,,32501,University of Rhode Island,University of Rhode Island,URI,35 Campus Avenue,Kingston,RI,2881,"Kingston, RI  02881",,(401) 874-1000,(401) 874-7149,,,24,State Colleges and Universities,5,RIDE_May  3 2023  3:37PM
2385,,28508,URI/Alan Shawn Feinstein College of Continuing Education,URI/Alan Shawn Feinstein,URI/Alan Shawn,80 Washington Street,Providence,RI,2903,"Providence, RI  02903",,(401) 277-5489,(401) 277-5099,,www.uri.edu/prov,24,State Colleges and Universities,5,RIDE_May  3 2023  3:37PM
